time,Method,Value,Data,Frequency
2012-01-01,Original,100.186930486676,Media,Daily
2012-01-01,Linear,0.503979827519562,Media,Daily
2012-01-01,Loess (0.1),0.402697099421033,Media,Daily
2012-01-01,Loess (0.25),1.23698581083714,Media,Daily
2012-01-01,First Difference,,Media,Daily
2012-01-02,Original,99.1140999176309,Media,Daily
2012-01-02,Linear,-0.568961977996721,Media,Daily
2012-01-02,Loess (0.1),-0.661641962368393,Media,Daily
2012-01-02,Loess (0.25),0.163017078983088,Media,Daily
2012-01-02,First Difference,-1.07283056904532,Media,Daily
2012-01-03,Original,98.9093309299223,Media,Daily
2012-01-03,Linear,-0.773842202160323,Media,Daily
2012-01-03,Loess (0.1),-0.857957133026716,Media,Daily
2012-01-03,Loess (0.25),-0.0428898850594806,Media,Daily
2012-01-03,First Difference,-0.204768987708533,Media,Daily
2012-01-04,Original,99.032969596705,Media,Daily
2012-01-04,Linear,-0.65031477183274,Media,Daily
2012-01-04,Loess (0.1),-0.725901901902489,Media,Daily
2012-01-04,Loess (0.25),0.0796109445947764,Media,Daily
2012-01-04,First Difference,0.123638666782625,Media,Daily
2012-01-05,Original,99.3003204494462,Media,Daily
2012-01-05,Linear,-0.383075155546609,Media,Daily
2012-01-05,Loess (0.1),-0.450171300031087,Media,Daily
2012-01-05,Loess (0.25),0.34582405214438,Media,Daily
2012-01-05,First Difference,0.267350852741174,Media,Daily
2012-01-06,Original,99.5814015300897,Media,Daily
2012-01-06,Linear,-0.102105311358064,Media,Daily
2012-01-06,Loess (0.1),-0.160746847971552,Media,Daily
2012-01-06,Loess (0.25),0.625767432264198,Media,Daily
2012-01-06,First Difference,0.281081080643588,Media,Daily
2012-01-07,Original,98.6087192695097,Media,Daily
2012-01-07,Linear,-1.07489880839318,Media,Daily
2012-01-07,Loess (0.1),-1.12512167735279,Media,Daily
2012-01-07,Loess (0.25),-0.3480525314407,Media,Daily
2012-01-07,First Difference,-0.972682260580072,Media,Daily
2012-01-08,Original,98.9991621487566,Media,Daily
2012-01-08,Linear,-0.684567165601288,Media,Daily
2012-01-08,Loess (0.1),-0.72640686962697,Media,Daily
2012-01-08,Loess (0.25),0.041252594811354,Media,Daily
2012-01-08,First Difference,0.390442879246933,Media,Daily
2012-01-09,Original,100.019010458245,Media,Daily
2012-01-09,Linear,0.335169907431667,Media,Daily
2012-01-09,Loess (0.1),0.301678303117043,Media,Daily
2012-01-09,Loess (0.25),1.05996305416551,Media,Daily
2012-01-09,First Difference,1.019848309488,Media,Daily
2012-01-10,Original,100.228334176015,Media,Daily
2012-01-10,Linear,0.544382388747467,Media,Daily
2012-01-10,Loess (0.1),0.51920425641822,Media,Daily
2012-01-10,Loess (0.25),1.26814877739456,Media,Daily
2012-01-10,First Difference,0.209323717770843,Media,Daily
2012-01-11,Original,98.88271427249,Media,Daily
2012-01-11,Linear,-0.80134875123305,Media,Daily
2012-01-11,Loess (0.1),-0.818247601805439,Media,Daily
2012-01-11,Loess (0.25),-0.0786093123494851,Media,Daily
2012-01-11,First Difference,-1.34561990352547,Media,Daily
2012-01-12,Original,99.7296079180654,Media,Daily
2012-01-12,Linear,0.0454336578873848,Media,Daily
2012-01-12,Loess (0.1),0.036780336340442,Media,Daily
2012-01-12,Loess (0.25),0.767145908061593,Media,Daily
2012-01-12,First Difference,0.846893645575477,Media,Daily
2012-01-13,Original,100.396536663956,Media,Daily
2012-01-13,Linear,0.712251167323029,Media,Daily
2012-01-13,Loess (0.1),0.711810059567299,Media,Daily
2012-01-13,Loess (0.25),1.43293594257324,Media,Daily
2012-01-13,First Difference,0.666928745890687,Media,Daily
2012-01-14,Original,98.5394994792831,Media,Daily
2012-01-14,Linear,-1.14489725380508,Media,Daily
2012-01-14,Loess (0.1),-1.13715902550668,Media,Daily
2012-01-14,Loess (0.25),-0.425240286962591,Media,Daily
2012-01-14,First Difference,-1.85703718467306,Media,Daily
2012-01-15,Original,99.814297282623,Media,Daily
2012-01-15,Linear,0.129789313079804,Media,Daily
2012-01-15,Loess (0.1),0.145674437192326,Media,Daily
2012-01-15,Loess (0.25),0.848418090762038,Media,Daily
2012-01-15,First Difference,1.27479780333992,Media,Daily
2012-01-16,Original,99.8953045008954,Media,Daily
2012-01-16,Linear,0.210685294897194,Media,Daily
2012-01-16,Loess (0.1),0.234685312081069,Media,Daily
2012-01-16,Loess (0.25),0.928285455397628,Media,Daily
2012-01-16,First Difference,0.0810072182724326,Media,Daily
2012-01-17,Original,99.1278676962092,Media,Daily
2012-01-17,Linear,-0.55686274624409,Media,Daily
2012-01-17,Loess (0.1),-0.52477940123454,Media,Daily
2012-01-17,Loess (0.25),0.159708321784095,Media,Daily
2012-01-17,First Difference,-0.767436804686241,Media,Daily
2012-01-18,Original,100.071285699211,Media,Daily
2012-01-18,Linear,0.386444020303089,Media,Daily
2012-01-18,Loess (0.1),0.426579565389801,Media,Daily
2012-01-18,Loess (0.25),1.10198547329965,Media,Daily
2012-01-18,First Difference,0.943418003002222,Media,Daily
2012-01-19,Original,100.491812199083,Media,Daily
2012-01-19,Linear,0.806859283720015,Media,Daily
2012-01-19,Loess (0.1),0.85501633863251,Media,Daily
2012-01-19,Loess (0.25),1.52137055185661,Media,Daily
2012-01-19,First Difference,0.420526499871968,Media,Daily
2012-01-20,Original,100.047193035156,Media,Daily
2012-01-20,Linear,0.362128883337843,Media,Daily
2012-01-20,Loess (0.1),0.418277195321878,Media,Daily
2012-01-20,Loess (0.25),1.07560934951722,Media,Daily
2012-01-20,First Difference,-0.444619163927129,Media,Daily
2012-01-21,Original,98.3004748911569,Media,Daily
2012-01-21,Linear,-1.3847004971166,Media,Daily
2012-01-21,Loess (0.1),-1.32059074331808,Media,Daily
2012-01-21,Loess (0.25),-0.672251497260632,Media,Daily
2012-01-21,First Difference,-1.7467181439994,Media,Daily
2012-01-22,Original,98.3810926516491,Media,Daily
