mes,n_articles,mass_unfiltered,mass_filtered
2014-01-01,610,143439,112112
2014-02-01,409,95983,78505
2014-03-01,641,170265,133822
2014-04-01,533,143074,120896
2014-05-01,574,143098,119156
2014-06-01,483,124517,104411
2014-07-01,560,153076,130122
2014-08-01,567,150147,127341
2014-09-01,699,205592,142568
2014-10-01,838,249995,173371
2014-11-01,892,284915,185782
2014-12-01,809,249552,157721
2015-01-01,2075,466780,212165
2015-02-01,1176,272574,124874
2015-03-01,2032,447583,209897
2015-04-01,1694,383693,175405
2015-05-01,1195,306660,157380
2015-06-01,735,205094,121570
2015-07-01,776,252882,149352
2015-08-01,770,235612,152517
2015-09-01,777,223872,144665
2015-10-01,717,236976,150241
2015-11-01,893,271264,149172
2015-12-01,980,294876,159001
2016-01-01,994,288684,141422
2016-02-01,932,283455,136755
2016-03-01,1106,311389,150664
2016-04-01,965,294415,149949
2016-05-01,1114,318129,157614
2016-06-01,1211,333049,162521
2016-07-01,1049,305108,139174
2016-08-01,1055,296625,135338
2016-09-01,1546,333915,155333
2016-10-01,1425,371717,163917
2016-11-01,1842,452933,212441
2016-12-01,1803,447895,206993
2017-01-01,1389,380530,196381
2017-02-01,1634,370786,161865
2017-03-01,1914,487891,235736
2017-04-01,1649,427471,194269
2017-05-01,2105,481909,219201
2017-06-01,1899,445675,202995
2017-07-01,1417,358611,178400
2017-08-01,1378,346834,166127
2017-09-01,1180,312568,155741
2017-10-01,1279,336758,169286
2017-11-01,1437,343739,156661
2017-12-01,1274,324263,156336
2018-01-01,1270,328071,155781
2018-02-01,1107,262035,118354
2018-03-01,1419,369515,185418
2018-04-01,1585,382611,183561
2018-05-01,1662,422516,195194
2018-06-01,1399,375792,181625
2018-07-01,1389,328345,158951
2018-08-01,1430,318667,155370
2018-09-01,1166,307760,147324
2018-10-01,1404,370375,178824
2018-11-01,1375,330600,152598
2018-12-01,1951,461068,220879
2019-01-01,2061,471380,216799
2019-02-01,1462,335624,150077
2019-03-01,1858,440317,208545
2019-04-01,1422,341584,161558
2019-05-01,2176,507810,228281
2019-06-01,2307,536610,250880
2019-07-01,2439,559843,253825
2019-08-01,2166,537364,249961
2019-09-01,1939,480059,215691
2019-10-01,2667,631188,319208
2019-11-01,2600,620213,309000
2019-12-01,2124,541486,261466
2020-01-01,2264,571352,273852
2020-02-01,1305,313582,140530
2020-03-01,2261,468418,252773
2020-04-01,2312,491390,271964
2020-05-01,2350,493843,288694
2020-06-01,2377,539533,295759
2020-07-01,2182,500858,272504
2020-08-01,2133,497595,264964
2020-09-01,2018,461512,253084
2020-10-01,1888,460664,253716
2020-11-01,1806,453285,253214
2020-12-01,1801,404692,211520
2021-01-01,1860,433078,232766
2021-02-01,1680,390404,198663
2021-03-01,2138,506261,280338
2021-04-01,1976,482404,252912
2021-05-01,1862,455669,241927
2021-06-01,1684,446647,242431
2021-07-01,1960,523508,284360
2021-08-01,1960,523202,280908
2021-09-01,2067,599475,319595
2021-10-01,2389,734059,381386
2021-11-01,2460,737418,379727
2021-12-01,2163,670455,319801
2022-01-01,1849,536269,280437
2022-02-01,1929,559651,267291
2022-03-01,2870,818592,461086
2022-04-01,2861,781349,418826
2022-05-01,3262,899941,511408
2022-06-01,2907,796723,436688
2022-07-01,2825,780857,409195
2022-08-01,2972,820326,440588
2022-09-01,2039,534176,283431
2022-10-01,2044,540097,303577
2022-11-01,2090,531316,301396
2022-12-01,2035,504961,278802
2023-01-01,2001,493918,271878
2023-02-01,1626,405794,223020
2023-03-01,2187,580726,335008
2023-04-01,1872,508735,289496
2023-05-01,2110,532782,301383
2023-06-01,1956,493032,276884
2023-07-01,1990,526406,279730
2023-08-01,2052,533672,291814
2023-09-01,1684,459890,234911
2023-10-01,1550,437159,228418
2023-11-01,1654,465584,243413
2023-12-01,1692,461178,239893
2024-01-01,1832,473916,241774
2024-02-01,1594,413776,210012
2024-03-01,1700,496345,247896
2024-04-01,1756,501384,266199
2024-05-01,1760,505512,265244
2024-06-01,1614,441630,223809
2024-07-01,1838,481445,259200
2024-08-01,1080,303810,145144
