window,w,N,E,N_GC,S_GC,mean_k,n_components
Neutral,25,6063,14005,5380,0.8873494969487052,4.619825169058222,307
Neutral,50,3525,6082,3003,0.8519148936170213,3.4507801418439716,236
Neutral,75,2517,3682,2035,0.8085021851410409,2.925705204608661,213
Neutral,100,1925,2519,1490,0.7740259740259741,2.617142857142857,188
Neutral,150,1318,1474,918,0.6965098634294385,2.236722306525038,171
Neutral,200,965,962,568,0.5886010362694301,1.993782383419689,165
Neutral,300,618,527,283,0.45792880258899676,1.7055016181229774,142
Neutral,400,437,341,156,0.35697940503432496,1.5606407322654463,117
Neutral,600,250,177,38,0.152,1.416,81
Neutral,800,162,102,11,0.06790123456790123,1.2592592592592593,63
Pre-transition,25,7458,19413,6784,0.9096272459104318,5.205953338696702,301
Pre-transition,50,4366,8470,3865,0.8852496564360971,3.879981676591846,231
Pre-transition,75,3169,5103,2633,0.8308614704954245,3.2205743136636165,236
Pre-transition,100,2459,3564,1971,0.8015453436356242,2.8987393249288327,216
Pre-transition,150,1697,2088,1275,0.7513258691809075,2.46081319976429,181
Pre-transition,200,1276,1402,835,0.6543887147335423,2.197492163009404,181
Pre-transition,300,834,786,468,0.5611510791366906,1.8848920863309353,156
Pre-transition,400,582,498,266,0.4570446735395189,1.711340206185567,129
Pre-transition,600,332,250,108,0.3253012048192771,1.5060240963855422,95
Pre-transition,800,222,155,40,0.18018018018018017,1.3963963963963963,74
Post-transition,25,9062,30745,8371,0.923747517104392,6.785477819465902,318
Post-transition,50,5686,14007,5157,0.9069644741470277,4.926837847344355,243
Post-transition,75,4211,8643,3751,0.8907622892424603,4.10496319164094,221
Post-transition,100,3389,6096,2905,0.8571850103275303,3.5975213927412217,220
Post-transition,150,2433,3756,1958,0.8047677764077271,3.087546239210851,212
Post-transition,200,1896,2578,1451,0.765295358649789,2.719409282700422,198
Post-transition,300,1297,1489,931,0.71781033153431,2.2960678488820356,159
Post-transition,400,965,1029,644,0.6673575129533679,2.132642487046632,139
Post-transition,600,589,556,327,0.5551782682512734,1.8879456706281834,109
Post-transition,800,436,366,203,0.46559633027522934,1.6788990825688073,98
