scheme,window,replicate,w,S_GC,N,mean_k
raw,Neutral,0,25,0.8873494969487052,6063,4.619825169058222
raw,Neutral,0,50,0.8519148936170213,3525,3.4507801418439716
raw,Neutral,0,75,0.8085021851410409,2517,2.925705204608661
raw,Neutral,0,100,0.7740259740259741,1925,2.617142857142857
raw,Neutral,0,150,0.6965098634294385,1318,2.236722306525038
raw,Neutral,0,200,0.5886010362694301,965,1.993782383419689
raw,Neutral,0,300,0.45792880258899676,618,1.7055016181229774
raw,Neutral,0,400,0.35697940503432496,437,1.5606407322654463
raw,Neutral,0,600,0.152,250,1.416
raw,Neutral,0,800,0.06790123456790123,162,1.2592592592592593
raw,Pre-transition,0,25,0.9096272459104318,7458,5.205953338696702
raw,Pre-transition,0,50,0.8852496564360971,4366,3.879981676591846
raw,Pre-transition,0,75,0.8308614704954245,3169,3.2205743136636165
raw,Pre-transition,0,100,0.8015453436356242,2459,2.8987393249288327
raw,Pre-transition,0,150,0.7513258691809075,1697,2.46081319976429
raw,Pre-transition,0,200,0.6543887147335423,1276,2.197492163009404
raw,Pre-transition,0,300,0.5611510791366906,834,1.8848920863309353
raw,Pre-transition,0,400,0.4570446735395189,582,1.711340206185567
raw,Pre-transition,0,600,0.3253012048192771,332,1.5060240963855422
raw,Pre-transition,0,800,0.18018018018018017,222,1.3963963963963963
raw,Post-transition,0,25,0.923747517104392,9062,6.785477819465902
raw,Post-transition,0,50,0.9069644741470277,5686,4.926837847344355
raw,Post-transition,0,75,0.8907622892424603,4211,4.10496319164094
raw,Post-transition,0,100,0.8571850103275303,3389,3.5975213927412217
raw,Post-transition,0,150,0.8047677764077271,2433,3.087546239210851
raw,Post-transition,0,200,0.765295358649789,1896,2.719409282700422
raw,Post-transition,0,300,0.71781033153431,1297,2.2960678488820356
raw,Post-transition,0,400,0.6673575129533679,965,2.132642487046632
raw,Post-transition,0,600,0.5551782682512734,589,1.8879456706281834
raw,Post-transition,0,800,0.46559633027522934,436,1.6788990825688073
