scheme,window,w,S_GC,lo,hi,mean_k,N
betabinomial,Neutral,25,0.8796664136667524,0.8742478668002674,0.8835298061476011,4.2075012520212525,5149.84
betabinomial,Neutral,50,0.827807382589641,0.8172630555748197,0.8369430557409338,3.1456283163860133,2965.12
betabinomial,Neutral,75,0.7803283266302797,0.7719177210374254,0.7902211755068606,2.6851716768012204,2052.24
betabinomial,Neutral,100,0.7262470160277978,0.7119103851628782,0.7407804563412077,2.3826879454865257,1584.92
betabinomial,Neutral,150,0.6195902730948104,0.6065009560229445,0.6367984586727053,2.047853560381496,1042.16
betabinomial,Neutral,200,0.5334516167608233,0.5193761356753482,0.5482849604221636,1.8179974774744982,762.16
betabinomial,Neutral,300,0.36012896942615663,0.31635494504518114,0.3850563508985684,1.585311032092337,479.0
betabinomial,Neutral,400,0.19789717659333797,0.16433774834437087,0.24735202492211839,1.4690452917054042,319.64
betabinomial,Neutral,600,0.11058074153750841,0.06544943820224719,0.150194075587334,1.3012622123207296,176.88
betabinomial,Neutral,800,0.08727289850844254,0.06494040984309354,0.0990990990990991,1.2610609131333028,110.96
betabinomial,Post-transition,25,0.9019444186685519,0.8971223170286795,0.9072520194808434,4.7100982878863,5398.0
betabinomial,Post-transition,50,0.8461565838993595,0.835217458318053,0.8564752538472625,3.4403339381794535,3164.84
betabinomial,Post-transition,75,0.7927086911599907,0.779992717457126,0.8067414481309909,2.92697287749221,2258.12
betabinomial,Post-transition,100,0.7582216846707546,0.7478350799779371,0.7749909785744052,2.5806294318147054,1761.68
betabinomial,Post-transition,150,0.6848396262651495,0.658709499365237,0.702893263479786,2.2123297694596427,1198.8
betabinomial,Post-transition,200,0.6317419499733694,0.590964710342471,0.6616207951070336,2.0322182885368623,882.6
betabinomial,Post-transition,300,0.5157326145588818,0.4647797441427601,0.5520346681981935,1.7798721245494988,547.24
betabinomial,Post-transition,400,0.3957103646715043,0.2625741379428564,0.44268865194407647,1.6073010873244393,395.36
betabinomial,Post-transition,600,0.14965315247399644,0.1021716872339279,0.19578059071729956,1.4176339298340759,235.28
betabinomial,Post-transition,800,0.11015854343059754,0.08178029409451915,0.177764881445863,1.2985758467704724,158.08
betabinomial,Pre-transition,25,0.8889647927382329,0.882516959712031,0.8957001873650186,4.365214341471666,5555.96
betabinomial,Pre-transition,50,0.8270585991002919,0.8152192649572351,0.8358047156251315,3.226642715969705,3185.76
betabinomial,Pre-transition,75,0.7854844535171925,0.7761251158970626,0.7958561775763674,2.743203700373167,2235.16
betabinomial,Pre-transition,100,0.740851807110422,0.7243825126322067,0.7538926764208138,2.4481540589114865,1699.76
betabinomial,Pre-transition,150,0.6340466529870735,0.615685747531541,0.6591960650884042,2.0944671669107726,1127.8
betabinomial,Pre-transition,200,0.5591704651443,0.5198820015811203,0.583742390762204,1.885126722671063,823.96
betabinomial,Pre-transition,300,0.3965776715935171,0.3398366902558519,0.44961884961884957,1.6503783072033247,495.88
betabinomial,Pre-transition,400,0.30417867022800604,0.24759448643841708,0.347169408626056,1.5127462581676625,332.68
betabinomial,Pre-transition,600,0.17674246057945747,0.1443262001156738,0.21768540154962487,1.370048316757368,187.88
betabinomial,Pre-transition,800,0.14785167224571924,0.1174674324135033,0.20464017782717414,1.314548421478936,122.76
binomial,Neutral,25,0.880059559053819,0.8753638710967665,0.8837326293570883,4.216407423053483,5131.8
binomial,Neutral,50,0.8267492338260426,0.8217934477830641,0.8319303053944144,3.1483601674480095,2965.16
binomial,Neutral,75,0.7821436275783904,0.7743824104984459,0.7885001004650513,2.6921181646444112,2041.12
binomial,Neutral,100,0.7260545013803117,0.7178129604541005,0.7327941804841954,2.3827047048192806,1585.4
binomial,Neutral,150,0.6096077583598412,0.6000365424224304,0.6190776748447522,2.044740186995884,1037.4
binomial,Neutral,200,0.5344727815701301,0.5246091083702399,0.5419643295139983,1.8094792479298385,755.36
binomial,Neutral,300,0.36669070151814714,0.35682590233545647,0.37884003827053625,1.5872961971337787,472.36
binomial,Neutral,400,0.19206191953964222,0.18542192429022084,0.20013735033292526,1.4603704161666473,317.4
binomial,Neutral,600,0.11322834391395857,0.09195192056441076,0.12766832034018427,1.2911718329179473,172.44
binomial,Neutral,800,0.09048516650420106,0.08256880733944955,0.09345794392523364,1.2718153655090978,109.64
binomial,Post-transition,25,0.9037970778626863,0.8991744471151994,0.9085764652552759,4.7354722314983455,5343.52
binomial,Post-transition,50,0.8440169539189978,0.8369354655899708,0.8513413769565263,3.4592997509248473,3125.72
binomial,Post-transition,75,0.7933119834449566,0.7852773131564169,0.7996769851951547,2.9583804526432216,2228.08
binomial,Post-transition,100,0.755570419609403,0.7463875565030299,0.7633009611700621,2.586471844638248,1739.84
binomial,Post-transition,150,0.7006771276597703,0.6905405405405406,0.7123326091391634,2.2321317795181868,1182.52
binomial,Post-transition,200,0.6604459541615951,0.6402411478552472,0.6724682724682725,2.0614347106414117,857.44
binomial,Post-transition,300,0.5230468464834809,0.5029927146832055,0.5422754893450197,1.80077945488772,530.04
binomial,Post-transition,400,0.41623552193993435,0.3894292246289766,0.4328698293993924,1.6083104897537257,394.2
binomial,Post-transition,600,0.14842927871990555,0.11863836603924709,0.164685182857861,1.437576617344881,220.76
binomial,Post-transition,800,0.10164869971455452,0.08674181427804616,0.12025316455696203,1.2935868230544711,159.0
binomial,Pre-transition,25,0.8904145558851081,0.8845312520301541,0.8964392392438159,4.384014027610709,5519.4
binomial,Pre-transition,50,0.826583679859009,0.8214992403839099,0.8313758660998605,3.230503945806214,3157.44
binomial,Pre-transition,75,0.7826143879908461,0.7734723606408899,0.7905170965456285,2.7549141937213095,2223.12
binomial,Pre-transition,100,0.7495007648975813,0.739845523698069,0.7599571436698419,2.4536321817086697,1689.2
binomial,Pre-transition,150,0.6247405435477312,0.6141567961630541,0.6389412620760734,2.0857277382150343,1110.68
binomial,Pre-transition,200,0.5574864749132626,0.5479263424374347,0.5764768051597284,1.8808452868892847,823.08
binomial,Pre-transition,300,0.4111895899829326,0.3939624150339864,0.4269394500926529,1.6634868489567645,487.56
