scheme,w,Neutral,Post-transition,Pre-transition,ratio_post_over_neutral
betabinomial,25,4.2075012520212525,4.7100982878863,4.365214341471666,1.1194526170666268
betabinomial,50,3.1456283163860133,3.4403339381794535,3.226642715969705,1.093687362953302
betabinomial,75,2.6851716768012204,2.92697287749221,2.743203700373167,1.0900505553443949
betabinomial,100,2.3826879454865257,2.5806294318147054,2.4481540589114865,1.083074867904182
betabinomial,150,2.047853560381496,2.2123297694596427,2.0944671669107726,1.0803163918847334
betabinomial,200,1.8179974774744982,2.0322182885368623,1.885126722671063,1.117833392904347
betabinomial,300,1.585311032092337,1.7798721245494988,1.6503783072033247,1.122727394510322
betabinomial,400,1.4690452917054042,1.6073010873244393,1.5127462581676625,1.0941126842035858
betabinomial,600,1.3012622123207296,1.4176339298340759,1.370048316757368,1.0894298754021325
betabinomial,800,1.2610609131333028,1.2985758467704724,1.314548421478936,1.029748708604375
binomial,25,4.216407423053483,4.7354722314983455,4.384014027610709,1.1231059421835854
binomial,50,3.1483601674480095,3.4592997509248473,3.230503945806214,1.0987623927820427
binomial,75,2.6921181646444112,2.9583804526432216,2.7549141937213095,1.0989043837286316
binomial,100,2.3827047048192806,2.586471844638248,2.4536321817086697,1.0855192586000382
binomial,150,2.044740186995884,2.2321317795181868,2.0857277382150343,1.0916456739658533
binomial,200,1.8094792479298385,2.0614347106414117,1.8808452868892847,1.1392419741756235
binomial,300,1.5872961971337787,1.80077945488772,1.6634868489567645,1.1344949091035645
binomial,400,1.4603704161666473,1.6083104897537257,1.4983572468860566,1.101303115941919
binomial,600,1.2911718329179473,1.437576617344881,1.355084571666162,1.1133890785830343
binomial,800,1.2718153655090978,1.2935868230544711,1.325063862500238,1.0171184105301783
binomial_full,25,4.212556291437584,4.9573118478295415,4.354368647092323,1.176794208757695
binomial_full,50,3.147790279036015,3.603886169329375,3.20808845365441,1.1448939890725618
binomial_full,75,2.692395217937348,3.094440385876881,2.736507842690875,1.1493262078542619
binomial_full,100,2.383235404187912,2.7126448072097826,2.4424077768168506,1.1382194148521878
binomial_full,150,2.043245891807296,2.2989858778695123,2.072114639857146,1.1251635875484416
