scheme,w,Neutral,Post-transition,Pre-transition,post_is_highest,strictly_increasing
betabinomial,25,0.8796664136667524,0.9019444186685519,0.8889647927382329,True,True
betabinomial,50,0.827807382589641,0.8461565838993595,0.8270585991002919,True,False
betabinomial,75,0.7803283266302797,0.7927086911599907,0.7854844535171925,True,True
betabinomial,100,0.7262470160277978,0.7582216846707546,0.740851807110422,True,True
betabinomial,150,0.6195902730948104,0.6848396262651495,0.6340466529870735,True,True
betabinomial,200,0.5334516167608233,0.6317419499733694,0.5591704651443,True,True
betabinomial,300,0.36012896942615663,0.5157326145588818,0.3965776715935171,True,True
betabinomial,400,0.19789717659333797,0.3957103646715043,0.30417867022800604,True,True
betabinomial,600,0.11058074153750841,0.14965315247399644,0.17674246057945747,False,False
betabinomial,800,0.08727289850844254,0.11015854343059754,0.14785167224571924,False,False
binomial,25,0.880059559053819,0.9037970778626863,0.8904145558851081,True,True
binomial,50,0.8267492338260426,0.8440169539189978,0.826583679859009,True,False
binomial,75,0.7821436275783904,0.7933119834449566,0.7826143879908461,True,True
binomial,100,0.7260545013803117,0.755570419609403,0.7495007648975813,True,True
binomial,150,0.6096077583598412,0.7006771276597703,0.6247405435477312,True,True
binomial,200,0.5344727815701301,0.6604459541615951,0.5574864749132626,True,True
binomial,300,0.36669070151814714,0.5230468464834809,0.4111895899829326,True,True
binomial,400,0.19206191953964222,0.41623552193993435,0.31881536882537514,True,True
binomial,600,0.11322834391395857,0.14842927871990555,0.1774396528051202,False,False
binomial,800,0.09048516650420106,0.10164869971455452,0.14620073224366498,False,False
binomial_full,25,0.8814099146937113,0.9061000664400851,0.8887796145574981,True,True
binomial_full,50,0.8268425925399849,0.8576256075200288,0.8241381452081901,True,False
binomial_full,75,0.7812797100781022,0.8050876277659605,0.7802185757424717,True,False
binomial_full,100,0.7268465735107289,0.7672017027717842,0.7465306762212779,True,True
binomial_full,150,0.6119166220746401,0.7153877237120273,0.6204645195062689,True,True
binomial_full,200,0.5358523363457236,0.6735207026225996,0.5512275397133137,True,True
binomial_full,300,0.3662956288651565,0.5592323051928112,0.41155891426664454,True,True
binomial_full,400,0.18986161187791073,0.4583838099000449,0.3198642888723368,True,True
binomial_full,600,0.11128026441333067,0.1633141331222447,0.18042034358830072,False,False
binomial_full,800,0.08991418229893718,0.1194276035540841,0.13380927016849378,False,False
block,25,0.88206441257689,0.9052061489290193,0.8931043851183234,True,True
block,50,0.8276362373211136,0.8507819494039894,0.8368255221719337,True,True
block,75,0.7841989646795465,0.7976348294892506,0.7869301560690423,True,True
block,100,0.7332314831548145,0.7578488058364721,0.7428736713975461,True,True
block,150,0.6222803018884899,0.7038383193887354,0.6419824873116012,True,True
block,200,0.5188587313438944,0.6532218490069763,0.5663117494812581,True,True
block,300,0.36280823698702946,0.5260837723227625,0.4134295016780895,True,True
block,400,0.20218097742268581,0.4092025898693169,0.31386373478174073,True,True
block,600,0.11228952761186126,0.1482187344124181,0.1871237593554278,False,False
block,800,0.0796288401902552,0.10916661730955012,0.1538517738957933,False,False
hypergeometric,25,0.881077938472314,0.9023575144421916,0.8916460363097829,True,True
hypergeometric,50,0.8276661816874483,0.8437100992714184,0.825824451386877,True,False
hypergeometric,75,0.7829247647921284,0.7919962439624784,0.7817225819926308,True,False
hypergeometric,100,0.7263557564612931,0.7545869523249271,0.7480885055378481,True,True
hypergeometric,150,0.6101847785386932,0.696789224667556,0.6234999255985926,True,True
hypergeometric,200,0.5340495062752361,0.6631500943653489,0.552651631101174,True,True
hypergeometric,300,0.36678813690677486,0.5212336958479127,0.41115234057406114,True,True
hypergeometric,400,0.18828095302526962,0.4122255293484407,0.32089053790838734,True,True
hypergeometric,600,0.11259789763891231,0.1470369740319172,0.17721270235179368,False,False
hypergeometric,800,0.09057837906075923,0.10196405021388134,0.13957848492002334,False,False
multinomial,25,0.8794818849159951,0.9021753077666556,0.8888904888688951,True,True
multinomial,50,0.8274797759794318,0.8453888399373227,0.8262670132561095,True,False
multinomial,75,0.779057629263292,0.7901150825270469,0.7845669831439425,True,True
multinomial,100,0.7256367237470782,0.7558354249675516,0.7475038984430361,True,True
multinomial,150,0.6138370080374539,0.6978104629340262,0.6265766743896632,True,True
multinomial,200,0.5371785059594645,0.6563492902673111,0.5631576734611576,True,True
multinomial,300,0.3559340993202009,0.5188174236716367,0.4100853599817107,True,True
multinomial,400,0.18835769057987442,0.40251141118491207,0.31865791080509337,True,True
multinomial,600,0.0995205700058486,0.1423256080447223,0.1770048031507155,False,False
multinomial,800,0.08803519591423131,0.10227369468707796,0.14205563730952658,False,False
raw,25,0.8873494969487052,0.923747517104392,0.9096272459104318,True,True
raw,50,0.8519148936170213,0.9069644741470277,0.8852496564360971,True,True
raw,75,0.8085021851410409,0.8907622892424603,0.8308614704954245,True,True
raw,100,0.7740259740259741,0.8571850103275303,0.8015453436356242,True,True
raw,150,0.6965098634294385,0.8047677764077271,0.7513258691809075,True,True
raw,200,0.5886010362694301,0.765295358649789,0.6543887147335423,True,True
raw,300,0.45792880258899676,0.71781033153431,0.5611510791366906,True,True
raw,400,0.35697940503432496,0.6673575129533679,0.4570446735395189,True,True
raw,600,0.152,0.5551782682512734,0.3253012048192771,True,True
raw,800,0.06790123456790123,0.46559633027522934,0.18018018018018017,True,True
