scheme,w,contrast,n_replicates,mean_difference,ci_lo,ci_hi,share_positive
betabinomial,25,Post-transition - Neutral,25,0.02227800500179956,0.016297438526537644,0.030283008199493477,1.0
betabinomial,25,Post-transition - Pre-transition,25,0.012979625930319,0.004601934606300628,0.021198406233337082,1.0
betabinomial,25,Pre-transition - Neutral,25,0.009298379071480558,0.005154401865837,0.015712686947716346,1.0
betabinomial,50,Post-transition - Neutral,25,0.018349201309718528,0.005850987279174769,0.029491751666683275,1.0
betabinomial,50,Post-transition - Pre-transition,25,0.01909798479906777,0.004477933662562261,0.031958157276571204,1.0
betabinomial,50,Pre-transition - Neutral,25,-0.0007487834893492406,-0.011259896802737823,0.011519990445049885,0.32
betabinomial,75,Post-transition - Neutral,25,0.01238036452971099,-0.00176317673255677,0.030871037056756173,0.96
betabinomial,75,Post-transition - Pre-transition,25,0.0072242376427982214,-0.010522306889354027,0.025192211126739736,0.76
betabinomial,75,Pre-transition - Neutral,25,0.0051561268869127685,-0.012571047985616635,0.018383168106879958,0.68
betabinomial,100,Post-transition - Neutral,25,0.031974668642956824,0.015682765308293514,0.04984997575085521,1.0
betabinomial,100,Post-transition - Pre-transition,25,0.01736987756033261,-0.003226745002976527,0.03555454010782308,0.96
betabinomial,100,Pre-transition - Neutral,25,0.014604791082624215,-0.00610394237982652,0.031019094224357887,0.88
betabinomial,150,Post-transition - Neutral,25,0.06524935317033913,0.039259419980892996,0.08786615309572558,1.0
betabinomial,150,Post-transition - Pre-transition,25,0.05079297327807596,0.011914069763821946,0.08103441517846936,1.0
betabinomial,150,Pre-transition - Neutral,25,0.014456379892263164,-0.016154099942243483,0.04201441810666347,0.8
betabinomial,200,Post-transition - Neutral,25,0.09829033321254613,0.057177317316650704,0.12714468208492113,1.0
betabinomial,200,Post-transition - Pre-transition,25,0.07257148482906936,0.023360190188116216,0.10886599089665185,1.0
betabinomial,200,Pre-transition - Neutral,25,0.025718848383476756,-0.022624629718614453,0.05348297194761468,0.88
betabinomial,300,Post-transition - Neutral,25,0.15560364513272507,0.10049136216437064,0.2074478117352069,1.0
betabinomial,300,Post-transition - Pre-transition,25,0.11915494296536464,0.05547077687975166,0.19599421011166732,1.0
betabinomial,300,Pre-transition - Neutral,25,0.03644870216736045,-0.03253351568816093,0.08180386622705807,0.88
betabinomial,400,Post-transition - Neutral,25,0.1978131880781663,0.06564498933862148,0.2605988594356369,1.0
betabinomial,400,Post-transition - Pre-transition,25,0.09153169444349821,-0.019872208910284087,0.16431779941210603,0.96
betabinomial,400,Pre-transition - Neutral,25,0.10628149363466814,0.03712497635102496,0.1539919506542023,1.0
betabinomial,600,Post-transition - Neutral,25,0.03907241093648803,-0.020558345583588863,0.08954754949691658,0.88
betabinomial,600,Post-transition - Pre-transition,25,-0.027089308105461053,-0.09320686240007739,0.031590222836971556,0.2
betabinomial,600,Pre-transition - Neutral,25,0.06616171904194908,0.022050665781550273,0.1095323863064862,1.0
betabinomial,800,Post-transition - Neutral,25,0.02288564492215498,-0.008215345470247428,0.09754260309274349,0.8
betabinomial,800,Post-transition - Pre-transition,25,-0.0376931288151217,-0.10673795406099226,0.021457189138170685,0.12
betabinomial,800,Pre-transition - Neutral,25,0.06057877373727668,0.025008819035507633,0.11658599063505591,1.0
binomial,25,Post-transition - Neutral,25,0.02373751880886703,0.016608759877620182,0.03139796046958775,1.0
binomial,25,Post-transition - Pre-transition,25,0.013382521977577989,0.005295360807586991,0.022265182469229348,1.0
binomial,25,Pre-transition - Neutral,25,0.010354996831289043,0.0038762871554019144,0.016989976554928263,1.0
binomial,50,Post-transition - Neutral,25,0.017267720092955203,0.007265932598067449,0.025943376899116896,1.0
binomial,50,Post-transition - Pre-transition,25,0.017433274059988735,0.009734680755867187,0.027478627819656952,1.0
binomial,50,Pre-transition - Neutral,25,-0.00016555396703353154,-0.006519395996228905,0.009366884489167338,0.44
